"[0.5016196  0.4976417  0.69996744 0.68041706 0.2992569  0.9125679
 0.01800978 0.90580606 0.60535455 0.5504771  0.42191705 0.4026938
 0.37138528 0.5080287  0.48620972 0.4867919  0.5056654  0.4671711 ]"
"[0.49184722 0.50362396 0.19006997 0.17886    0.81056577 0.7849201
 0.06910224 0.7658801  0.66233456 0.5176399  0.36674795 0.34920728
 0.3481559  0.53929067 0.4868146  0.46909365 0.4963196  0.51713324]"
"[0.49482426 0.51343966 0.25712153 0.24379523 0.7434646  0.8035714
 0.05501986 0.7865855  0.7251407  0.5166606  0.29874092 0.2842188
 0.31464928 0.576402   0.4411632  0.4373764  0.45800018 0.5635437 ]"
"[0.4912292  0.51099503 0.20131192 0.19039837 0.79932934 0.7606994
 0.07826591 0.7423877  0.6819356  0.5110524  0.3452253  0.3285939
 0.33755726 0.55717707 0.4714128  0.45497036 0.47939977 0.541767  ]"
"[0.512026   0.50120384 0.2289999  0.21725512 0.7717784  0.737677
 0.12874283 0.7215032  0.2317642  0.50059134 0.7507393  0.73546934
 0.4514287  0.44442493 0.6226326  0.5054869  0.5863959  0.39965644]"
"[0.5011358  0.50038874 0.22536075 0.21466286 0.77557194 0.5779873
 0.21196075 0.5550489  0.6235579  0.49411336 0.40359044 0.38546532
 0.36344957 0.5357572  0.52209437 0.47694454 0.5187366  0.51835126]"
"[0.49841094 0.50270206 0.19252473 0.1827828  0.8084723  0.45113963
 0.36107108 0.43213415 0.55260265 0.48474407 0.4676369  0.45134792
 0.3849773  0.52284825 0.5480454  0.48208684 0.53502434 0.502443  ]"
"[0.5037499  0.49688134 0.23734894 0.22585177 0.76326656 0.38186818
 0.4492557  0.36429226 0.34362176 0.4819035  0.66113955 0.6478589
 0.4699463  0.45081663 0.63197917 0.51365274 0.60000336 0.40943366]"
"[0.50091916 0.5037166  0.21857825 0.20534682 0.7819618  0.8607996
 0.0183251  0.8448822  0.41610947 0.51691556 0.58795106 0.5724238
 0.41588226 0.47770864 0.56100905 0.48943824 0.5468123  0.43751496]"
"[0.50091475 0.49801826 0.20881331 0.19956481 0.7923365  0.41220456
 0.4143169  0.39312845 0.546263   0.4823826  0.4693079  0.45172277
 0.3798092  0.52728564 0.5482837  0.48219413 0.5356358  0.50911677]"
"[0.49292812 0.4936675  0.19939609 0.1899333  0.80165464 0.14233716
 0.78288054 0.13281325 0.5699555  0.48733434 0.45170903 0.4341455
 0.38042378 0.5290061  0.54694265 0.48808184 0.5417485  0.5051385 ]"
"[0.5018329  0.49622416 0.3942378  0.37832513 0.6049129  0.3210293
 0.522451   0.3042636  0.36217645 0.4853781  0.63349783 0.61772025
 0.4352231  0.4811841  0.5979848  0.5055419  0.57150286 0.44864225]"
"[0.50932205 0.50420046 0.20186147 0.19142897 0.79917115 0.796932
 0.05969151 0.78125393 0.41942495 0.5206426  0.58854175 0.5720757
 0.4103403  0.47058725 0.5673263  0.4938554  0.55109155 0.4323074 ]"
"[0.4971487  0.5047738  0.22454008 0.21433477 0.7766353  0.43255216
 0.3818975  0.4127775  0.7245447  0.47809488 0.30754894 0.29211816
 0.33314052 0.5759699  0.49146742 0.45223674 0.49097967 0.57275116]"
"[0.48648316 0.51291496 0.5842761  0.5650426  0.4140386  0.40775672
 0.35641944 0.38576883 0.88135034 0.4872752  0.1540695  0.14412019
 0.28430095 0.6324861  0.40849406 0.4139355  0.43042168 0.6391138 ]"
"[0.47543055 0.51783234 0.7487766  0.73687494 0.24966387 0.59128225
 0.19696487 0.56618345 0.8422133  0.52131665 0.19057617 0.17992172
 0.29549304 0.6115689  0.39247197 0.42723522 0.4252239  0.6042576 ]"
"[0.49720088 0.47924152 0.9363531  0.9265326  0.06163952 0.60260105
 0.1954095  0.58106977 0.3039928  0.5018944  0.69139636 0.67764014
 0.4605598  0.45393062 0.60710984 0.5126804  0.5796055  0.4079215 ]"
"[0.49063772 0.48880354 0.7843144  0.77172565 0.21350744 0.5904391
 0.25358394 0.5726706  0.60560894 0.51453483 0.412505   0.39706835
 0.3755004  0.529437   0.4979853  0.48062587 0.50165987 0.50744957]"
"[0.50301206 0.5025338  0.32449535 0.31050912 0.6759263  0.6293085
